Garden Surface,count
200.0,31
80.0,29
100.0,28
300.0,27
150.0,27
600.0,25
50.0,25
800.0,23
400.0,23
500.0,22
1000.0,21
250.0,19
60.0,18
40.0,17
350.0,15
2000.0,15
30.0,14
700.0,13
110.0,13
20.0,13
1500.0,12
25.0,11
45.0,11
90.0,10
55.0,9
85.0,9
120.0,9
118.0,8
2500.0,8
42.0,8
550.0,8
450.0,8
280.0,8
850.0,8
1400.0,8
560.0,8
65.0,8
180.0,8
900.0,8
115.0,8
220.0,7
70.0,7
1200.0,7
75.0,7
650.0,7
750.0,7
1800.0,6
1100.0,6
130.0,6
35.0,6
78.0,6
160.0,6
1600.0,6
170.0,6
11.0,6
285.0,6
76.0,5
230.0,5
125.0,5
3000.0,5
112.0,5
114.0,5
1300.0,5
175.0,5
210.0,5
135.0,5
27.0,5
14.0,5
240.0,5
215.0,4
29.0,4
72.0,4
5000.0,4
4000.0,4
117.0,4
140.0,4
819.0,4
53.0,4
84.0,4
1330.0,4
360.0,4
540.0,4
56.0,4
1900.0,4
330.0,4
5.0,4
138.0,4
33.0,4
242.0,4
2700.0,4
2200.0,4
145.0,3
1060.0,3
256.0,3
37.0,3
895.0,3
205.0,3
320.0,3
8.0,3
1110.0,3
558.0,3
39.0,3
753.0,3
36.0,3
592.0,3
10.0,3
298.0,3
890.0,3
226.0,3
225.0,3
93.0,3
3800.0,3
4500.0,3
2600.0,3
255.0,3
89.0,3
341.0,3
2300.0,3
260.0,3
22.0,3
19.0,3
1.0,3
356.0,3
620.0,3
290.0,3
353.0,3
347.0,3
7.0,3
190.0,3
32.0,3
348.0,3
17.0,3
46.0,3
28.0,3
517.0,2
565.0,2
206.0,2
344.0,2
830.0,2
1450.0,2
355.0,2
563.0,2
745.0,2
3400.0,2
640.0,2
2852.0,2
994.0,2
470.0,2
654.0,2
3172.0,2
762.0,2
1992.0,2
389.0,2
486.0,2
818.0,2
71.0,2
1539.0,2
217.0,2
735.0,2
8000.0,2
375.0,2
524.0,2
490.0,2
615.0,2
714.0,2
266.0,2
635.0,2
458.0,2
104.0,2
276.0,2
474.0,2
865.0,2
430.0,2
156.0,2
365.0,2
325.0,2
21500.0,2
307.0,2
88.0,2
144.0,2
281.0,2
105.0,2
559.0,2
209.0,2
107.0,2
86.0,2
339.0,2
38.0,2
2400.0,2
1700.0,2
227.0,2
54.0,2
1130.0,2
154.0,2
66.0,2
51.0,2
630.0,2
352.0,2
843.0,2
744.0,2
342.0,2
645.0,2
497.0,2
506.0,2
81.0,2
291.0,2
1520.0,2
2100.0,2
31.0,2
182.0,2
3300.0,2
410.0,2
380.0,2
452.0,2
14000.0,2
121.0,2
16.0,2
102.0,2
12.0,2
24.0,2
343.0,2
346.0,2
77.0,2
366.0,2
1395.0,2
119.0,2
129.0,2
275.0,2
1250.0,2
670.0,2
815.0,2
851.0,2
480.0,2
3440.0,2
233.0,2
315.0,2
715.0,2
1686.0,2
91.0,2
496.0,2
97.0,2
388.0,2
262.0,2
146.0,2
15.0,2
333.0,2
265.0,2
136.0,2
103.0,2
1532.0,2
992.0,2
3500.0,2
284.0,2
57.0,2
5500.0,2
374.0,1
420.0,1
2785.0,1
13.0,1
335.0,1
597.0,1
1411.0,1
2177.0,1
4727.0,1
7000.0,1
2810.0,1
1621.0,1
1184.0,1
519.0,1
1357.0,1
1090.0,1
2375.0,1
1175.0,1
1126.0,1
292.0,1
1086.0,1
17809.0,1
4254.0,1
4589.0,1
491.0,1
4992.0,1
5902.0,1
1113.0,1
131.0,1
927.0,1
301.0,1
216.0,1
794.0,1
440.0,1
720.0,1
3569.0,1
840.0,1
143.0,1
2246.0,1
174.0,1
861.0,1
340.0,1
1557.0,1
1431.0,1
515.0,1
74.0,1
1795.0,1
67.0,1
132.0,1
361.0,1
1159.0,1
9500.0,1
1746.0,1
21.0,1
267.0,1
848.0,1
407.0,1
623.0,1
1085.0,1
1414.0,1
868.0,1
733.0,1
702.0,1
1533.0,1
869.0,1
373.0,1
1262.0,1
2269.0,1
1297.0,1
919.0,1
627.0,1
763.0,1
43.0,1
98.0,1
49494.0,1
789.0,1
390.0,1
510.0,1
6500.0,1
200000.0,1
770.0,1
1724.0,1
706.0,1
913.0,1
423.0,1
1865.0,1
2478.0,1
1660.0,1
1712.0,1
5600.0,1
711.0,1
295.0,1
588.0,1
383.0,1
870.0,1
378.0,1
3200.0,1
167.0,1
44.0,1
297.0,1
820.0,1
244.0,1
191.0,1
1927.0,1
1072.0,1
784.0,1
1134.0,1
1540.0,1
293.0,1
465.0,1
338.0,1
245.0,1
835.0,1
1432.0,1
1257.0,1
839.0,1
539.0,1
447.0,1
1224.0,1
50000.0,1
3185.0,1
2530.0,1
1491.0,1
616.0,1
40730.0,1
4455.0,1
944.0,1
855.0,1
827.0,1
952.0,1
157.0,1
1044.0,1
1701.0,1
740.0,1
609.0,1
575.0,1
535.0,1
606.0,1
246.0,1
1379.0,1
2960.0,1
17940.0,1
1778.0,1
1279.0,1
118000.0,1
2202.0,1
1868.0,1
1077.0,1
87.0,1
520.0,1
1464.0,1
223.0,1
2023.0,1
274.0,1
1078.0,1
2976.0,1
833.0,1
5324.0,1
272.0,1
2173.0,1
2397.0,1
3090.0,1
2098.0,1
2343.0,1
1750.0,1
551.0,1
692.0,1
218.0,1
611.0,1
3636.0,1
238.0,1
4150.0,1
5203.0,1
2089.0,1
95.0,1
960.0,1
585.0,1
950.0,1
1260.0,1
672.0,1
10695.0,1
729.0,1
2236.0,1
162.0,1
757.0,1
719.0,1
1910.0,1
236.0,1
990.0,1
52.0,1
1289.0,1
434.0,1
873.0,1
203.0,1
1150.0,1
173.0,1
108.0,1
579.0,1
3.0,1
111.0,1
164.0,1
1824.0,1
370.0,1
124.0,1
214.0,1
26.0,1
94.0,1
1137.0,1
676.0,1
385.0,1
16500.0,1
649.0,1
1763.0,1
443.0,1
287.0,1
127.0,1
1010.0,1
181.0,1
403.0,1
263.0,1
304.0,1
313.0,1
885.0,1
351.0,1
419.0,1
3600.0,1
61.0,1
1167.0,1
664.0,1
1467.0,1
669.0,1
1029.0,1
999.0,1
956.0,1
58.0,1
49.0,1
1480.0,1
1120.0,1
397.0,1
194.0,1
1230.0,1
123.0,1
595.0,1
728.0,1
1550.0,1
1210.0,1
185.0,1
475.0,1
3242.0,1
853.0,1
464.0,1
479.0,1
1610.0,1
155.0,1
98290.0,1
62.0,1
184.0,1
126.0,1
149.0,1
977.0,1
1840.0,1
533.0,1
6975.0,1
1856.0,1
1190.0,1
1615.0,1
376.0,1
556.0,1
449.0,1
576.0,1
622.0,1
872.0,1
468.0,1
1928.0,1
2108.0,1
469.0,1
1552.0,1
228.0,1
4390.0,1
222.0,1
914.0,1
5747.0,1
369.0,1
894.0,1
8005.0,1
41.0,1
328.0,1
334.0,1
359.0,1
1980.0,1
713.0,1
4.0,1
2149.0,1
2011.0,1
257.0,1
1125.0,1
1027.0,1
1518.0,1
2792.0,1
247.0,1
509.0,1
437.0,1
488.0,1
889.0,1
2490.0,1
8300.0,1
3543.0,1
224.0,1
590.0,1
3086.0,1
467.0,1
1616.0,1
5050.0,1
969.0,1
337.0,1
99.0,1
92.0,1
243.0,1
2035.0,1
12700.0,1
61000.0,1
1074.0,1
1050.0,1
8500.0,1
83.0,1
642.0,1
202.0,1
610.0,1
880.0,1
920.0,1
1142.0,1
1197.0,1
277.0,1
1755.0,1
1477.0,1
741.0,1
1153.0,1
749.0,1
1127.0,1
231.0,1
691.0,1
251.0,1
213.0,1
2081.0,1
147.0,1
4410.0,1
1080.0,1
631.0,1
717.0,1
774.0,1
2650.0,1
2373.0,1
1366.0,1
3380.0,1
268.0,1
463.0,1
1862.0,1
584.0,1
834.0,1
694.0,1
296.0,1
59.0,1
234.0,1
23.0,1
525.0,1
778.0,1
528.0,1
2137.0,1
561.0,1
1349.0,1
461.0,1
748.0,1
530.0,1
4746.0,1
532.0,1
971.0,1
726.0,1
28560.0,1
448.0,1
986.0,1
2238.0,1
96.0,1
1139.0,1
457.0,1
1940.0,1
261.0,1
258.0,1
405.0,1
513.0,1
739.0,1
2512.0,1
5513.0,1
863.0,1
34.0,1
