Locality name,count
Louvain-la-Neuve,165
Arlon,83
Durbuy,70
Namur,67
Oostende,67
Antwerp,66
Elsene,63
Wavre,63
Ukkel,62
Gent,60
Oostakker,60
Turnhout,57
Waterloo,55
Koksijde,55
Brussels,54
Heusden-Zolder,51
Roeselare,50
Nivelles,45
Marche-en-Famenne,43
Tournai,41
Braine-l'Alleud,41
Aalst,40
Hasselt,40
Geel,39
Sint-Lambrechts-Woluwe,36
Blankenberge,36
Andenne,36
Sint-Truiden,35
Schaarbeek,34
Ciney,33
Lasne,33
Anderlecht,33
Bertrix,32
Vorst,32
Beringen,32
Mechelen,31
Ronse,31
Charleroi,31
Deinze,30
Mouscron,30
Brugge,29
Tubize,29
Sint-Jans-Molenbeek,28
Geraardsbergen,28
Deurne,27
Tongeren,26
Genk,26
Leopoldsburg,26
Bouillon,26
La Roche-en-Ardenne,25
Evergem,25
Lommel,24
Dinant,24
Mol,24
Gilly,24
Kortrijk,24
Libramont-Chevigny,23
Nieuwpoort,23
Rochefort,23
Sint-Niklaas,23
Beerzel,22
Koersel,22
Middelkerke,21
Mons,21
Menen,21
Wetteren,20
Maaseik,20
Chaumont-Gistoux,20
Merksem,20
Oudenaarde,20
Jambes,20
Sint-Pieters-Woluwe,19
Neufchâteau,19
Halle,19
Bastogne,19
Ninove,19
Leuven,19
Beauraing,19
Marcinelle,19
Laken,19
Maasmechelen,18
Rixensart,18
Orp-le-Grand,18
Vilvoorde,18
La Louvière,18
Evere,18
Herzele,17
Dilsen-Stokkem,17
Zottegem,17
Oudergem,17
Hoboken,17
Jumet,17
Sint-Genesius-Rode,16
Koningshooikt,16
Perwez,16
Houthalen-Helchteren,16
Ath,16
Tervuren,16
Sint-Gillis,16
Herentals,16
Virton,16
Vielsalm,16
Jette,16
Couvin,16
Braine-le-Château,16
Tessenderlo,15
Libin,15
Courcelles,15
Willebroek,15
Wemmel,15
Balen,15
Wervik,15
Jodoigne,14
Harelbeke,14
Barvaux-sur-Ourthe,14
Rebecq,14
Athus,14
Montignies-sur-Sambre,14
Lier,14
Asse,14
Knokke-Heist,13
Genval,13
Overijse,13
Borgloon,13
Duinbergen,13
Paliseul,13
Saint-Hubert,13
Sint-Lievens-Houtem,13
Mont-sur-Marchienne,13
Érezée,13
Messancy,12
Etterbeek,12
Koekelberg,12
Châtelet,12
Ramillies,12
Berg,12
Aubange,12
La Hulpe,12
Erpe-Mere,12
Houffalize,12
Tenneville,12
De Panne,12
Wilrijk,12
Mortsel,12
Gerpinnes,12
Opwijk,12
Wondelgem,11
Orp-Jauche,11
Marchienne-au-Pont,11
Aalter,11
De Haan,11
Malonne,11
Heist-op-den-Berg,11
Lede,11
Borgerhout,11
Lodelinsart,10
Bredene,10
Merchtem,10
Diepenbeek,10
Saint-Servais,10
Yvoir,10
Villers-la-Ville,10
Court-Saint-Étienne,10
Merelbeke,10
Knokke,10
Zwijnaarde,10
Vosselaar,10
Zedelgem,10
Muizen,9
Erquelinnes,9
Keerbergen,9
Assebroek,9
Ittre,9
Auvelais,9
Gembloux,9
Éghezée,9
Genappe,9
Lummen,9
Huizingen,9
Sint-Pieters-Leeuw,9
Tremelo,9
Zonhoven,9
Somme-Leuze,9
Astene,9
Florennes,9
Herent,9
Eeklo,9
Stekene,9
Florenville,8
Corbion,8
Paal,8
Couillet,8
Sivry-Rance,8
Machelen,8
Oostduinkerke,8
Waardamme,8
Koekelare,8
Braine-le-Comte,8
Grez-Doiceau,8
Blaimont,8
Brasschaat,8
Hoogstraten,8
Sint-Katelijne-Waver,8
Berchem-Sainte-Agathe,8
Nazareth,8
Denderleeuw,8
Duffel,8
Ransart,8
Aarschot,8
Tintigny,8
Hastière,8
Hastière-Lavaux,8
Assesse,8
Westerlo,8
Montigny-le-Tilleul,8
Musson,8
Waregem,8
Staden,7
Oostrozebeke,7
Enghien,7
Sint-Kruis,7
Gouvy,7
Sint-Andries,7
Dottignies,7
Jemeppe-Sur-Sambre,7
Maldegem,7
Izegem,7
Beernem,7
Ohey,7
Erembodegem,7
Sint-Idesbald,7
Neder-Over-Heembeek,7
Farciennes,7
Martelange,7
Rekkem,7
Diksmuide,7
Soignies,7
Anhée,7
Diegem,7
Beauvechain,7
Bièvre,7
Ottignies-Louvain-la-Neuve,7
Sint-Amandsberg,7
Sleidinge,7
Floreffe,7
Pelt,7
Anderlues,7
Mettet,7
Destelbergen,7
Fleurus,7
Aublain,7
Affligem,7
Mont-Saint-Guibert,7
Haaltert,7
Haine-Saint-Pierre,7
Beveren,7
Boom,7
Retie,6
Kontich,6
Lievegem,6
Puurs,6
Heusden,6
Moerbeke-Waas,6
Ieper,6
Zeebrugge,6
Oud-Turnhout,6
Waarschoot,6
Sint-Denijs-Westrem,6
Bouffioulx,6
Ganshoren,6
Avelgem,6
Dour,6
Meulebeke,6
Wépion,6
Havelange,6
Jauche,6
Profondeville,6
Hoeilaart,6
Dilbeek,6
Zellik,6
Strombeek-Bever,6
Riemst,6
Limelette,6
Seilles,6
Heppen,6
Libramont,6
Châtillon,6
Châtelineau,6
Vresse-sur-Semois,6
Beffe,6
Sambreville,6
Wezembeek-Oppem,6
Ecaussinnes,6
Antoing,6
Berchem,6
Dadizele,6
Kuurne,6
Herselt,6
Dentergem,6
Péruwelz,6
Bonheiden,6
Houyet,6
Tielt,6
Beverst,5
Étalle,5
Kinrooi,5
Tamines,5
Herbeumont,5
Lochristi,5
Houdemont,5
Ooigem,5
Ligny,5
Vaux-sur-Sûre,5
Zutendaal,5
Meix-devant-Virton,5
Gistel,5
Auby-sur-Semois,5
Bertogne,5
Daverdisse,5
Deerlijk,5
Zeveneken,5
Manhay,5
Bree,5
Mariembourg,5
Cerfontaine,5
Kluisbergen,5
Bierges,5
Gedinne,5
Watermaal-Bosvoorde,5
Kraainem,5
Zaffelare,5
Bissegem,5
Sint-Gillis-Waas,5
Ternat,5
Dendermonde,5
Wingene,5
Lanaken,5
Kortenberg,5
Nevele,5
Boortmeerbeek,5
Grimbergen,5
Sterrebeek,5
Neerpelt,5
Eernegem,5
Biesme,5
Neeroeteren,5
Ichtegem,5
Sint-Joost-ten-Node,5
Bornem,5
Houdeng-Aimeries,5
Erpion,5
Putte,5
Olen,5
Monceau-sur-Sambre,5
Borsbeek,5
Nijlen,5
Froidchapelle,5
Onze-Lieve-Vrouw-Waver,5
Binche,5
Luingne,5
Trazegnies,5
Hemiksem,5
Nalinnes,5
Rijkevorsel,5
Roux,5
Vorselaar,5
Boechout,5
Noorderwijk,5
Aiseau-Presles,5
Pecq,5
Frameries,5
Laakdal,5
Baal,4
Heverlee,4
Léglise,4
Sainte-Ode,4
Temse,4
Gosselies,4
Wevelgem,4
Zulte,4
Hulste,4
Le Roeulx,4
Kampenhout,4
Wellin,4
Lovendegem,4
Linkebeek,4
Wachtebeke,4
Meise,4
Ruisbroek,4
Hamont-Achel,4
Oudenburg,4
Ravels,4
Herk-de-Stad,4
Breendonk,4
Oudsbergen,4
Herne,4
Zaventem,4
Malle,4
Gingelom,4
Wakken,4
Opglabbeek,4
Bocholt,4
Velm,4
Beersel,4
Ham,4
Kuringen,4
Beverlo,4
Londerzeel,4
Attert,4
Wanfercée-Baulet,4
Bellecourt,4
Maurage,4
Buizingen,4
Poupehan,4
Lessines,4
Dave,4
Yves-Gomezée,4
Sint-Michiels,4
Céroux-Mousty,4
Ophain-Bois-Seigneur-Isaac,4
Hastière-par-delà,4
Rumst,4
Roly,4
Gavere,4
Herseaux,4
Moustier-Sur-Sambre,4
Oignies-En-Thiérache,4
Arsimont,4
Desselgem,4
Ekeren,4
Brakel,4
Wommelgem,4
Meerbeke,4
Limal,4
Kortemark,4
Gentbrugge,4
Schriek,4
Berlaar,4
Saint-Léger,4
Grand-Halleux,4
Hotton,4
Boussu,4
Vezin,4
Otegem,4
Clabecq,4
Colfontaine,4
Agimont,4
Ruien,4
Marbais,4
Ardooie,4
Kapellen,4
Beausaint,4
Grobbendonk,3
Roosdaal,3
Nossegem,3
Liedekerke,3
Rumbeke,3
Verviers,3
Sint-Denijs,3
Ramsel,3
Burcht,3
Dessel,3
Strépy-Bracquegnies,3
Lot,3
Hélécine,3
Comines-Warneton,3
Lillois-Witterzée,3
Zoutleeuw,3
Kessel-Lo,3
Les Bons Villers,3
Incourt,3
Oud-Heverlee,3
Nederhasselt,3
Relegem,3
Ciergnon,3
Vezon,3
Bouge,3
Hornu,3
Fontaine-l'Évêque,3
Ham-sur-Heure,3
Dampremy,3
Saint-Symphorien,3
Hanzinne,3
Willerzie,3
Ave-et-Auffe,3
Manage,3
Wasmuel,3
Blandain,3
Courrière,3
Lennik,3
Baudour,3
Quaregnon,3
Somzée,3
Moignelée,3
Berzée,3
Heure,3
Bois-de-Villers,3
Fosses-la-Ville,3
PHILIPPEVILLE,3
Vedrin,3
Hamois,3
Amougies,3
Haren,3
Rendeux,3
Nassogne,3
Tellin,3
Lesterny,3
Herfelingen,3
Marquain,3
Bas-Warneton,3
Zemst,3
Oosterzele,3
Bommershoven,3
Achel,3
Heers,3
Wellen,3
Kortessem,3
Rekem,3
Hoeselt,3
Quiévrain,3
Morlanwelz,3
Hargimont,3
Carnières,3
Habay,3
Estaimpuis,3
Cuesmes,3
Vance,3
Habay-la-Neuve,3
Forchies-la-Marche,3
Lens,3
Templeuve,3
Saint-Mard,3
Aye,3
Amonines,3
Kain,3
Seneffe,3
Brecht,3
Welle,3
Adegem,3
Booischot,3
Massemen,3
Zele,3
Eke,3
Ertvelde,3
Lille,3
Poederlee,3
De Pinte,3
Westmeerbeek,3
Buggenhout,3
Itegem,3
Gijzegem,3
Aartselaar,3
Zoersel,3
Zwijndrecht,3
Schilde,3
Ledegem,3
Zelzate,3
Puurs-Sint-Amands,3
Lierde,3
Meerhout,3
Hooglede,3
Denderhoutem,3
Essen,3
Sint-Job-in-'t-Goor,3
Bazel,3
Moorslede,3
Wiers,2
Maissin,2
Leupegem,2
Gierle,2
Damme,2
Nukerke,2
Halma,2
Mariakerke,2
Drongen,2
Bras,2
Beloeil,2
Arville,2
Mont,2
Nieuwerkerken,2
Celles,2
Chiny,2
Halanzy,2
Ellezelles,2
Sibret,2
Petit-Thier,2
Bassevelde,2
Sint-Pauwels,2
Bande,2
Belsele,2
Sohier,2
Thuillies,2
Lamorteau,2
Souvret,2
Ingelmunster,2
Moelingen,2
Houdeng-Goegnies,2
Ham-sur-Heure-Nalinnes,2
Ligne,2
Chimay,2
Rotselaar,2
Gouy-lez-Piéton,2
Wijgmaal,2
Huldenberg,2
Diest,2
Drogenbos,2
Tisselt,2
Zomergem,2
Galmaarden,2
Lembeek,2
Begijnendijk,2
Veerle,2
Tienen,2
Wezemaal,2
Humbeek,2
Beerse,2
Grandrieu,2
Eugies,2
Overpelt,2
La Hestre,2
La Bouverie,2
Olsene,2
As,2
Kessenich,2
Bleid,2
Borsbeke,2
Alken,2
Chièvres,2
Kermt,2
Niel-bij-As,2
Hechtel,2
Veldwezelt,2
Houthalen,2
Ploegsteert,2
Kruibeke,2
Pipaix,2
Jemappes,2
Nieuwkerken-Waas,2
Wéris,2
Bellefontaine,2
Kaprijke,2
Neuville,2
Gonrieux,2
Romedenne,2
Felenne,2
Sombreffe,2
Noiseux,2
Godarville,2
Sinaai,2
Villers-en-Fagne,2
Dampicourt,2
Champion,2
Wortegem-Petegem,2
Villers-le-Gambon,2
Lebbeke,2
Kasterlee,2
Sovet,2
Senzeille,2
Laneffe,2
Wanlin,2
Vencimont,2
Braibant,2
Lisogne,2
Solre-sur-Sambre,2
Lobbes,2
Hyon,2
Épinois,2
Beervelde,2
Casteau,2
Haasdonk,2
Thy-le-Château,2
Lustin,2
Naninne,2
Walcourt,2
Noville-les-Bois,2
Pondrôme,2
Ham-sur-Sambre,2
Zwalm,2
Membre,2
Maarkedal,2
Fraire,2
Onhaye,2
Hove,2
Bizet,2
Hamme,2
La Glanerie,2
Herenthout,2
Kieldrecht,2
Forville,2
Estaimbourg,2
Hanzinelle,2
Maisières,2
Malempré,2
Werchter,2
Erneuville,2
Suxy,2
Chanly,2
Wibrin,2
Resteigne,2
Erpe,2
Montleban,2
Jemelle,2
Gaurain-Ramecroix,2
Erpent,2
Bohan,2
Gimnée,2
Meerle,2
Tarcienne,2
Flawinne,2
Grand-Leez,2
Doische,2
Godinne,2
Anseremme,2
Berlare,2
Blaasveld,2
Eindhout,2
Aische-en-Refail,2
Wierde,2
Wavreille,2
Frasnes,2
Fernelmont,2
Ledeberg,2
Kumtich,2
Erondegem,2
Nodebais,2
Bomal,2
Pittem,2
Sint-Eloois-Vijve,2
Thieu,2
Zwevegem,2
Lauwe,2
Lathuy,2
Marke,2
Oostnieuwkerke,2
Baisy-Thy,2
Hamme-Mille,2
Autre-Église,2
Sivry,2
Leffinge,2
Chapelle-lez-Herlaimont,2
Walhain,2
Thuin,2
Néchin,2
Schoten,2
Niel,2
Loppem,2
Veurne,2
Pironchamps,2
Loverval,2
Vieux-Genappe,2
Dudzele,2
Beselare,2
Wechelderzande,2
Liege,2
Ruddervoorde,2
Mesen,2
Moorsele,2
Haacht,2
Ciply,2
Grand-Rosière-Hottomont,2
Lint,2
Olmen,2
Sijsele,2
Vlezenbeek,2
Hulshout,2
Houthulst,2
Morkhoven,2
Anzegem,2
Aarsele,2
Westende,2
Zonnebeke,2
Ottignies,2
Opprebais,2
Bierghes,2
Tilly,2
Sint-Eloois-Winkel,2
Noduwez,1
Schendelbeke,1
Tielen,1
Fourbechies,1
Écaussinnes-d'Enghien,1
Biesme-sous-Thuin,1
Villers-devant-Orval,1
Quévy,1
Momignies,1
Quenast,1
Framont,1
Jamioulx,1
Meslin-l'Évêque,1
Louette-Saint-Denis,1
Marbaix,1
Lombardsijde,1
Seloignes,1
Lacuisine,1
Quevaucamps,1
Bure,1
Awenne,1
Hulsonniaux,1
Presles,1
Jandrain-Jandrenouille,1
Steenhuize-Wijnhuize,1
Terhagen,1
Temploux,1
Dohan,1
Le Mesnil,1
Brielen,1
Han-sur-Lesse,1
Hennuyères,1
Aiseau,1
Denderwindeke,1
Chevetogne,1
Flénu,1
Buissenal,1
Sugny,1
Cul-des-Sarts,1
Goutroux,1
Soulme,1
Bourseigne-Neuve,1
Vodelée,1
Stambruges,1
Péronnes,1
Stabroek,1
Sorinnes,1
Gougnies,1
Chastre-Villeroux-Blanmont,1
Nismes,1
Boekhoute,1
Sart-Saint-Laurent,1
Leest,1
Petigny,1
Mazée,1
Ghlin,1
Baillamont,1
Kallo,1
Schelle,1
Havinnes,1
Villers-Perwin,1
Honnay,1
Biez,1
Bray,1
Villerot,1
Sclayn,1
Ramegnies,1
Sart-Dames-Avelines,1
Haut-Ittre,1
Couture-Saint-Germain,1
Hévillers,1
Hingeon,1
Taintignies,1
Waarloos,1
Ressaix,1
Villers-Saint-Ghislain,1
Lesve,1
Arquennes,1
Naast,1
Appels,1
Tourpes,1
Tourinnes-la-Grosse,1
Landen,1
Le Roux,1
Waillet,1
Haillot,1
Gesves,1
Jamoigne,1
Baillonville,1
Dailly,1
Haut-le-Wastia,1
Mesnil-Église,1
Sauvenière,1
Barvaux-Condroz,1
Helkijn,1
Bouvignes-sur-Meuse,1
Wenduine,1
Surice,1
Voorde,1
Egem,1
Naomé,1
Maizeret,1
Castillon,1
Velaine,1
Wielsbeke,1
Pussemange,1
Sosoye,1
Beveren-Leie,1
Houx,1
Winenne,1
Waret-la-Chaussée,1
Warcoing,1
Bersillies-l'Abbaye,1
Outer,1
Ruiselede,1
Leugnies,1
Obaix,1
Poperinge,1
Lissewege,1
Honnelles,1
Hallaar,1
Wagnelée,1
Kerkhove,1
Boninne,1
Méan,1
Dikkebus,1
Bekegem,1
Landenne,1
Silenrieux,1
Éprave,1
Faulx-les-Tombes,1
Vodecée,1
Lo-Reninge,1
Belgrade,1
Veldegem,1
Évelette,1
Branchon,1
Hogne,1
Gourdinne,1
Treignes,1
Zandhoven,1
De Klinge,1
Anthée,1
La Bruyère,1
Torhout,1
Meux,1
Genly,1
Saint-Marc,1
Mannekensvere,1
Zuienkerke,1
Lavacherie,1
Kessel,1
Roisin,1
Bioul,1
Heer,1
Morialmé,1
Langemark-Poelkapelle,1
Lendelede,1
Hombeek,1
Aartrijke,1
Outrijve,1
Vitrival,1
Keumiée,1
Falisolle,1
Bierwart,1
Villers-sur-Lesse,1
Nettinne,1
Langemark,1
Lives-sur-Meuse,1
Dourbes,1
Sart-Custinne,1
Zuidschote,1
Baronville,1
Hour,1
Suarlée,1
Nieuwkerke,1
Jamiolle,1
Clermont,1
Beez,1
Mozet,1
Schorisse,1
Thon,1
Gelbressée,1
Brûly-de-Pesche,1
Slijpe,1
Chairière,1
Pulle,1
Edegem,1
Morhet,1
Longlier,1
Budingen,1
Bon-Secours,1
Moerbeke,1
Aalbeke,1
Hautrage,1
Montenaken,1
Koninksem,1
Serskamp,1
Helchteren,1
Bois-d'Haine,1
Kluizen,1
Melle,1
Kerksken,1
Hertain,1
Ère,1
Schepdaal,1
Thulin,1
Leuze-en-Hainaut,1
Esplechin,1
Grimminge,1
Athis,1
Jabbeke,1
Melles,1
Peer,1
Beaumont,1
Bavikhove,1
Werm,1
Bernissart,1
Opitter,1
Zepperen,1
Wijchmaal,1
Buvingen,1
Jollain-Merlin,1
Ophoven,1
Opoeteren,1
Stevoort,1
Rutten,1
Vliermaal,1
Bilzen,1
Voeren,1
Massenhoven,1
Haine-Saint-Paul,1
Molenbeersel,1
Stokkem,1
Munsterbilzen,1
Melsele,1
Meeuwen-Gruitrode,1
Niel-bij-Sint-Truiden,1
Bavegem,1
Forges,1
Brussegem,1
Bienne-lez-Happart,1
Boussu-lez-Walcourt,1
Kaulille,1
Bachte-Maria-Leerne,1
Oosteeklo,1
Oudenaken,1
Emblem,1
Hoevenen,1
Pepingen,1
Landelies,1
Moen,1
Nieuwrode,1
Gullegem,1
Ranst,1
Maffle,1
Sint-Kwintens-Lennik,1
Sint-Katherina-Lombeek,1
Flobecq,1
Heestert,1
Blaton,1
Erps-Kwerps,1
Sint-Agatha-Rode,1
Groot-Bijgaarden,1
Lichtaart,1
Wilsele,1
Loonbeek,1
Barbençon,1
Teralfene,1
Waasmont,1
Labuissière,1
Lubbeek,1
Estinnes,1
Fayt-lez-Manage,1
Neufmaison,1
Gozée,1
Scheldewindeke,1
Westrem,1
Woluwe-saint-Etienne,1
Deux-Acren,1
Everberg,1
Leefdaal,1
Weerde,1
Pellenberg,1
Langdorp,1
Alsemberg,1
Bellem,1
Eppegem,1
Bruyelle,1
Brasmenil,1
Messelbroek,1
Bertem,1
Borchtlombeek,1
Viane,1
s-Gravenvoeren,1
Molenbaix,1
Ébly,1
Maransart,1
Heinsch,1
Weelde,1
Noirefontaine,1
Habay-la-Vieille,1
Bottelare,1
Chastre,1
Mabompré,1
Kruisem,1
Offagne,1
Bonlez,1
Parike,1
Sint-Blasius-Boekel,1
Huissignies,1
Freux,1
Bourlers,1
Walhain-Saint-Paul,1
Habergy,1
Mélin,1
Bossut-Gottechain,1
Zétrud-Lumay,1
Marilles,1
Bende,1
Wasmes,1
Assenede,1
Limerlé,1
Knesselare,1
Bovigny,1
Muno,1
Ortho,1
Waha,1
Recogne,1
Sainte-Cécile,1
Èthe,1
Fays-les-Veneurs,1
Meix-le-Tige,1
Vivy,1
Geetbets,1
Bornival,1
Flamierge,1
Kruishoutem,1
Rouvroy,1
Torgny,1
Énines,1
Sint-Amands,1
Hansbeke,1
Gérouville,1
Hamipré,1
Chaussée-Notre-Dame-Louvignies,1
Hatrival,1
Broechem,1
Hodister,1
Ouwegem,1
Linsmeau,1
Transinne,1
Ambly,1
Ogy,1
Bassilly,1
Latour,1
Warquignies,1
Ressegem,1
Irchonwelz,1
Jurbise,1
Sars-la-Bruyère,1
Lokeren,1
Waudrez,1
Baarle-Hertog,1
Linden,1
Sint-Laureins,1
Haut-Fays,1
Comines,1
Rebaix,1
Nothomb,1
Rijmenam,1
Waremme,1
Trivières,1
Oisquercq,1
Saintes,1
Basècles,1
Frasnes-lez-Gosselies,1
Lembeke,1
Mussy-la-Ville,1
Hacquegnies,1
Les Hayons,1
Tourinnes-Saint-Lambert,1
Semmerzake,1
Glimes,1
Nobressart,1
Neerheylissem,1
Appelterre-Eichem,1
Grivegnée,1
Rulles,1
Oeudeghien,1
Arendonk,1
Leers-Nord,1
Anvaing,1
Hoves,1
Saint-Ghislain,1
Geluwe,1
Callenelle,1
Angre,1
Vrasene,1
Fauvillers,1
Viesville,1
Bever,1
